time,open,high,low,close,tick_volume,spread,real_volume,range,body,upper_wick_ratio,lower_wick_ratio,body_ratio,momentum,hour,day_of_week,rolling_high_20,rolling_low_20,range_position_20,atr14,visual_zone_label,visual_zone_score,visual_zone_annotation_id
2026-04-13 17:00:00,4733.09,4750.08,4725.59,4729.94,14554.0,15,0.0,24.48999999999978,3.1500000000005457,0.6937525520620634,0.17762351980398094,0.12862392813395565,0.0,17,0,4750.08,4725.59,0.17762351980398094,24.48999999999978,NONE,0.0,
2026-04-13 18:00:00,4729.94,4740.79,4723.48,4738.44,12495.0,15,0.0,17.3100000000004,8.5,0.13575967648759732,0.3731946851530842,0.4910456383593185,8.5,18,0,4750.08,4723.48,0.5624060150375877,20.90000000000009,NONE,0.0,
2026-04-13 19:00:00,4738.39,4747.47,4730.74,4741.18,11910.0,14,0.0,16.730000000000473,2.7899999999999636,0.37597130902568954,0.4572624028691171,0.16676628810519334,2.740000000000691,19,0,4750.08,4723.48,0.6654135338346047,19.51000000000022,NONE,0.0,
2026-04-13 20:00:00,4741.31,4744.01,4738.15,4740.32,4352.0,15,0.0,5.860000000000582,0.9900000000006912,0.460750853242244,0.3703071672354705,0.16894197952228548,-0.8600000000005821,20,0,4750.08,4723.48,0.6330827067669141,16.09750000000031,NONE,0.0,
2026-04-13 21:00:00,4729.91,4740.75,4723.26,4738.38,16565.0,4,0.0,17.48999999999978,8.470000000000255,0.13550600343052718,0.38021726700970376,0.484276729559769,-1.9399999999995998,21,0,4750.08,4723.26,0.563758389261747,16.376000000000204,NONE,0.0,
2026-04-13 22:00:00,4751.84,4759.69,4745.77,4757.99,5675.0,28,0.0,13.919999999999163,6.149999999999636,0.12212643678160347,0.4360632183908099,0.44181034482758663,19.609999999999673,22,0,4759.69,4723.26,0.9533351633269326,17.19833333333342,NONE,0.0,
2026-04-13 23:00:00,4757.94,4765.71,4754.5,4757.59,6608.0,15,0.0,11.210000000000036,0.3499999999994543,0.6931311329170751,0.2756467439786026,0.031222123104322316,-0.3999999999996362,23,0,4765.71,4723.26,0.8087161366313327,16.34285714285722,NONE,0.0,
2026-04-14 00:00:00,4757.79,4776.2,4751.58,4769.89,10752.0,15,0.0,24.61999999999989,12.100000000000364,0.256295694557251,0.25223395613322763,0.49147034930952144,12.300000000000182,0,1,4776.2,4723.26,0.8808084624102845,17.377500000000055,NONE,0.0,
2026-04-14 01:00:00,4769.89,4777.09,4761.87,4765.11,16696.0,15,0.0,15.220000000000255,4.780000000000655,0.47306176084097884,0.21287779237843152,0.3140604467805897,-4.780000000000655,1,1,4777.09,4723.26,0.7774475199702677,17.137777777777856,NONE,0.0,
2026-04-14 02:00:00,4765.14,4777.2,4762.18,4775.34,10879.0,15,0.0,15.019999999999527,10.199999999999818,0.12383488681755866,0.19707057256991542,0.6790945406125259,10.230000000000473,2,1,4777.2,4723.26,0.9655172413793162,16.926000000000023,NONE,0.0,
2026-04-14 03:00:00,4775.34,4775.72,4765.67,4768.21,7756.0,15,0.0,10.050000000000182,7.130000000000109,0.03781094527364202,0.252736318407952,0.709452736318406,-7.130000000000109,3,1,4777.2,4723.26,0.8333333333333361,16.300909090909126,NONE,0.0,
2026-04-14 04:00:00,4768.24,4777.04,4767.04,4774.05,5944.0,15,0.0,10.0,5.8100000000004,0.29899999999997817,0.11999999999998182,0.58100000000004,5.8400000000001455,4,1,4777.2,4723.26,0.9416017797552899,15.775833333333367,NONE,0.0,
2026-04-14 05:00:00,4774.05,4774.21,4757.92,4760.12,11936.0,15,0.0,16.289999999999964,13.930000000000291,0.009821976672796492,0.13505217925106341,0.8551258440761401,-13.930000000000291,5,1,4777.2,4723.26,0.6833518724508704,15.815384615384643,NONE,0.0,
2026-04-14 06:00:00,4760.25,4782.96,4760.18,4781.99,11299.0,14,0.0,22.779999999999745,21.73999999999978,0.04258121158912491,0.0030728709394078025,0.9543459174714672,21.86999999999989,6,1,4782.96,4723.26,0.9837520938023407,16.317142857142894,NONE,0.0,
2026-04-14 07:00:00,4782.17,4796.12,4767.99,4777.14,14279.0,15,0.0,28.13000000000011,5.029999999999745,0.4959118378954769,0.32527550657662674,0.1788126555278964,-4.849999999999454,7,1,4796.12,4723.26,0.7395004117485637,16.577142857142917,NONE,0.0,
2026-04-14 08:00:00,4777.1,4789.98,4774.24,4786.9,10193.0,14,0.0,15.739999999999782,9.799999999999272,0.19567979669631322,0.18170266836090354,0.6226175349427833,9.759999999999309,8,1,4796.12,4723.26,0.8734559429041958,16.465000000000014,NONE,0.0,
2026-04-14 09:00:00,4786.93,4789.3,4771.64,4778.15,8884.0,15,0.0,17.659999999999854,8.780000000000655,0.1342015855039587,0.36862967157414284,0.4971687429218985,-8.75,9,1,4796.12,4723.26,0.7533626132308491,16.531428571428542,NONE,0.0,
2026-04-14 10:00:00,4778.15,4788.18,4756.35,4768.38,9693.0,15,0.0,31.829999999999927,9.769999999999527,0.315111530003163,0.3779453345900023,0.3069431354068347,-9.769999999999527,10,1,4796.12,4723.26,0.6192698325555873,18.386428571428496,NONE,0.0,
2026-04-14 11:00:00,4768.38,4783.03,4766.93,4774.93,9270.0,15,0.0,16.099999999999454,6.550000000000182,0.503105590062095,0.090062111801234,0.40683229813667104,6.550000000000182,11,1,4796.12,4723.26,0.7091682679110665,18.287142857142758,NONE,0.0,
2026-04-14 12:00:00,4775.0,4777.66,4762.34,4771.5,14730.0,15,0.0,15.319999999999709,3.5,0.17362924281983713,0.5979112271540489,0.228459530026114,-3.430000000000291,12,1,4796.12,4723.26,0.6620916826791106,17.85928571428563,NONE,0.0,
2026-04-14 13:00:00,4771.49,4802.84,4771.21,4794.47,20775.0,15,0.0,31.63000000000011,22.980000000000473,0.26462219411950244,0.008852355358828466,0.7265254505216691,22.970000000000255,13,1,4802.84,4723.26,0.8948228198039722,19.317857142857065,NONE,0.0,
2026-04-14 14:00:00,4794.71,4818.01,4792.86,4803.98,20538.0,15,0.0,25.150000000000546,9.269999999999527,0.5578528827037913,0.07355864811134488,0.3685884691848639,9.509999999999309,14,1,4818.01,4723.26,0.8519261213720247,19.355714285714253,NONE,0.0,
2026-04-14 15:00:00,4803.97,4816.22,4791.16,4808.26,17129.0,14,0.0,25.0600000000004,4.289999999999964,0.31763766959297324,0.5111731843575497,0.17118914604947705,4.280000000000655,15,1,4818.01,4723.26,0.8970976253298153,20.05857142857141,NONE,0.0,
2026-04-14 16:00:00,4808.25,4820.3,4805.0,4810.09,13157.0,14,0.0,15.300000000000182,1.8400000000001455,0.6673202614379029,0.21241830065359224,0.12026143790850481,1.8299999999999272,16,1,4820.3,4723.26,0.8947856553998347,20.078571428571454,NONE,0.0,
2026-04-14 17:00:00,4810.09,4840.57,4809.47,4835.08,13074.0,15,0.0,31.099999999999454,24.98999999999978,0.17652733118970668,0.019935691318324816,0.8035369774919685,24.98999999999978,17,1,4840.57,4745.77,0.9420886075949386,21.58214285714283,NONE,0.0,
2026-04-14 18:00:00,4835.07,4843.26,4830.92,4835.66,11495.0,15,0.0,12.340000000000146,0.5900000000001455,0.6158833063209298,0.3363047001620411,0.047811993517029056,0.5799999999999272,18,1,4843.26,4751.58,0.917102966841183,21.749285714285698,NONE,0.0,
2026-04-14 19:00:00,4835.7,4846.28,4835.7,4844.9,10484.0,15,0.0,10.579999999999927,9.199999999999818,0.13043478260870686,0.0,0.8695652173912931,9.239999999999782,19,1,4846.28,4751.58,0.9854276663146767,21.344285714285693,NONE,0.0,
2026-04-14 20:00:00,4844.96,4846.05,4839.42,4841.68,4246.0,15,0.0,6.630000000000109,3.2799999999997453,0.16440422322777187,0.3408748114630741,0.49472096530915405,-3.219999999999345,20,1,4846.28,4756.35,0.9488491048593407,20.186428571428547,NONE,0.0,
2026-04-14 21:00:00,4835.09,4843.38,4830.95,4835.65,20037.0,4,0.0,12.430000000000291,0.5599999999994907,0.621882542236548,0.33306516492359056,0.04505229283986143,-6.030000000000655,21,1,4846.28,4756.35,0.8817969531858092,19.06499999999999,NONE,0.0,
2026-04-14 22:00:00,4840.49,4850.66,4833.12,4834.92,6732.0,28,0.0,17.539999999999964,5.569999999999709,0.5798175598631753,0.10262257696694331,0.31755986316988144,-0.7299999999995634,22,1,4850.66,4756.35,0.8331035945286834,19.19357142857143,NONE,0.0,
2026-04-14 23:00:00,4834.88,4844.34,4833.54,4837.27,7667.0,15,0.0,10.800000000000182,2.3900000000003274,0.6546296296295917,0.12407407407408545,0.2212962962963229,2.350000000000364,23,1,4850.66,4756.35,0.8580214187254852,18.703571428571454,NONE,0.0,
2026-04-15 00:00:00,4837.35,4840.06,4827.09,4835.54,9398.0,15,0.0,12.970000000000255,1.8100000000004002,0.20894371626831018,0.6515034695450773,0.13955281418661253,-1.730000000000473,0,2,4850.66,4756.35,0.8396776587848588,17.35642857142862,NONE,0.0,
2026-04-15 01:00:00,4835.54,4871.3,4828.2,4847.16,17794.0,15,0.0,43.100000000000364,11.61999999999989,0.5600928074245969,0.17030162412993233,0.26960556844547084,11.61999999999989,1,2,4871.3,4756.35,0.7899956502827284,19.285000000000114,NONE,0.0,
2026-04-15 02:00:00,4846.97,4853.3,4820.61,4823.94,15012.0,15,0.0,32.69000000000051,23.030000000000655,0.19363719791984793,0.1018660140715777,0.7044967880085744,-23.220000000000255,2,2,4871.3,4756.35,0.5879947803392722,20.525714285714457,NONE,0.0,
2026-04-15 03:00:00,4823.91,4829.76,4816.74,4823.99,9503.0,15,0.0,13.020000000000437,0.07999999999992724,0.4431643625192199,0.5506912442396185,0.006144393241161641,0.0500000000001819,3,2,4871.3,4756.35,0.5884297520661116,19.196428571428765,NONE,0.0,
2026-04-15 04:00:00,4823.99,4827.97,4820.43,4824.95,5191.0,15,0.0,7.539999999999964,0.9600000000000364,0.40053050397883966,0.47214854111399307,0.12732095490716724,0.9600000000000364,4,2,4871.3,4756.35,0.5967812092213968,17.93857142857158,NONE,0.0,
2026-04-15 05:00:00,4824.96,4830.66,4812.7,4819.68,12793.0,15,0.0,17.960000000000036,5.279999999999745,0.3173719376391875,0.3886414253897806,0.293986636971032,-5.269999999999527,5,2,4871.3,4756.35,0.5509351892127015,17.4314285714287,NONE,0.0,
2026-04-15 06:00:00,4819.68,4825.0,4811.19,4811.61,12532.0,14,0.0,13.8100000000004,8.070000000000618,0.3852280955828787,0.030412744388128934,0.5843591600289924,-8.070000000000618,6,2,4871.3,4762.34,0.4521842878120366,17.32500000000014,NONE,0.0,
2026-04-15 07:00:00,4811.59,4816.95,4803.94,4811.16,11104.0,15,0.0,13.010000000000218,0.43000000000029104,0.41199077632587106,0.5549577248270664,0.03305149884706255,-0.4499999999998181,7,2,4871.3,4762.34,0.44805433186490173,16.032857142857342,NONE,0.0,
2026-04-15 08:00:00,4810.97,4819.19,4804.67,4818.42,10016.0,14,0.0,14.519999999999527,7.449999999999818,0.05303030303027219,0.4338842975206878,0.51308539944904,7.260000000000218,8,2,4871.3,4771.21,0.47167549205714826,16.18857142857158,NONE,0.0,
2026-04-15 09:00:00,4818.42,4819.59,4787.31,4798.2,14113.0,14,0.0,32.279999999999745,20.220000000000255,0.03624535315985384,0.33736059479552366,0.6263940520446225,-20.220000000000255,9,2,4871.3,4787.31,0.12965829265388076,17.73571428571443,NONE,0.0,
2026-04-15 10:00:00,4798.2,4805.31,4790.36,4800.01,12701.0,15,0.0,14.950000000000728,1.8100000000004002,0.354515050167219,0.5244147157190477,0.12107023411373324,1.8100000000004002,10,2,4871.3,4787.31,0.15120847719966485,18.330000000000187,NONE,0.0,
2026-04-15 11:00:00,4800.03,4815.09,4795.62,4812.71,12037.0,15,0.0,19.470000000000255,12.680000000000291,0.12223934257832964,0.22650231124806353,0.6512583461736069,12.699999999999818,11,2,4871.3,4787.31,0.3024169543993297,18.83285714285733,NONE,0.0,
2026-04-15 12:00:00,4812.73,4816.28,4807.09,4811.73,11059.0,15,0.0,9.1899999999996,1.0,0.38628944504900287,0.504896626768185,0.10881392818281213,-0.9800000000004729,12,2,4871.3,4787.31,0.29074889867840487,18.23642857142873,NONE,0.0,
2026-04-15 13:00:00,4811.73,4830.18,4808.44,4828.8,20073.0,15,0.0,21.74000000000069,17.07000000000062,0.06347746090156695,0.15133394664212782,0.7851885924563052,17.07000000000062,13,2,4871.3,4787.31,0.4939873794499332,19.017857142857338,NONE,0.0,
2026-04-15 14:00:00,4828.81,4830.42,4813.34,4815.45,18330.0,14,0.0,17.079999999999927,13.360000000000582,0.09426229508194844,0.12353629976578932,0.7822014051522622,-13.350000000000364,14,2,4871.3,4787.31,0.3350398857006726,19.311428571428742,NONE,0.0,
2026-04-15 15:00:00,4815.45,4816.13,4787.03,4801.77,17927.0,15,0.0,29.100000000000364,13.679999999999382,0.023367697594511426,0.5065292096220105,0.470103092783478,-13.679999999999382,15,2,4871.3,4787.03,0.17491396701080592,18.311428571428742,NONE,0.0,
2026-04-15 16:00:00,4801.81,4812.8,4800.19,4803.97,14142.0,15,0.0,12.610000000000582,2.1599999999998545,0.7002379064234353,0.1284694686757118,0.17129262490085287,2.199999999999818,16,2,4871.3,4787.03,0.20102052925122132,16.877142857143035,NONE,0.0,
2026-04-15 17:00:00,4803.87,4808.8,4790.73,4792.5,12709.0,15,0.0,18.07000000000062,11.36999999999989,0.2728278915329343,0.0979524073049461,0.6292197011621197,-11.470000000000255,17,2,4871.3,4787.03,0.06491040702504125,17.237857142857333,NONE,0.0,
2026-04-15 18:00:00,4792.52,4802.12,4790.25,4799.65,13135.0,15,0.0,11.86999999999989,7.1299999999992,0.20808761583827104,0.1912384161752702,0.6006739679864588,7.149999999999636,18,2,4871.3,4787.03,0.14975673430639402,17.54714285714304,NONE,0.0,
2026-04-15 19:00:00,4799.66,4803.5,4794.56,4795.82,10920.0,15,0.0,8.9399999999996,3.8400000000001455,0.4295302013423174,0.14093959731536523,0.4295302013423174,-3.8299999999999272,19,2,4871.3,4787.03,0.10430758276966795,16.902857142857297,NONE,0.0,
2026-04-15 20:00:00,4795.82,4796.59,4787.77,4790.73,4527.0,15,0.0,8.819999999999709,5.0900000000001455,0.08730158730163969,0.33560090702939055,0.5770975056689698,-5.0900000000001455,20,2,4871.3,4787.03,0.043906491040700116,16.546428571428674,NONE,0.0,
2026-04-15 21:00:00,4792.52,4802.17,4790.25,4799.79,18811.0,4,0.0,11.920000000000073,7.269999999999527,0.19966442953020927,0.19043624161077372,0.609899328859017,9.0600000000004,21,2,4853.3,4787.03,0.19254564659725568,16.468571428571522,NONE,0.0,
2026-04-15 22:00:00,4797.78,4811.89,4790.69,4807.44,6790.0,28,0.0,21.200000000000728,9.659999999999854,0.20990566037738562,0.33443396226414634,0.45566037735846804,7.649999999999636,22,2,4830.66,4787.03,0.46779738711895036,16.945714285714466,NONE,0.0,
2026-04-15 23:00:00,4807.44,4826.63,4807.4,4823.55,6113.0,15,0.0,19.230000000000473,16.110000000000582,0.16016640665625853,0.00208008320332619,0.8377535101404153,16.110000000000582,23,2,4830.66,4787.03,0.8370387348155018,16.01357142857166,NONE,0.0,
2026-04-16 00:00:00,4823.55,4837.66,4820.98,4833.18,9595.0,15,0.0,16.68000000000029,9.63000000000011,0.26858513189445354,0.1540767386091471,0.5773381294963994,9.63000000000011,0,3,4837.66,4787.03,0.9115149121074549,16.137142857143058,NONE,0.0,
2026-04-16 01:00:00,4833.16,4836.28,4811.26,4818.03,13438.0,15,0.0,25.019999999999527,15.13000000000011,0.12470023980815147,0.27058353317344747,0.6047162270184011,-15.150000000000546,1,3,4837.66,4787.03,0.6122852063993667,16.533571428571577,NONE,0.0,
2026-04-16 02:00:00,4818.02,4825.06,4812.41,4819.73,9974.0,14,0.0,12.650000000000546,1.7099999999991269,0.42134387351783453,0.4434782608695921,0.13517786561257336,1.699999999999818,2,3,4837.66,4787.03,0.6458621370728767,16.780714285714502,NONE,0.0,
2026-04-16 03:00:00,4819.56,4827.13,4819.15,4824.17,7256.0,15,0.0,7.980000000000473,4.609999999999673,0.3709273182957219,0.051378446115380914,0.5776942355888972,4.440000000000509,3,3,4837.66,4787.03,0.7335571795378283,15.797857142857342,NONE,0.0,
2026-04-16 04:00:00,4824.17,4833.51,4823.0,4833.17,5404.0,15,0.0,10.510000000000218,9.0,0.03235014272123106,0.11132254995243088,0.8563273073263381,9.0,4,3,4837.66,4787.03,0.9113174007505477,15.32857142857165,NONE,0.0,
2026-04-16 05:00:00,4833.18,4838.45,4821.3,4821.39,10499.0,15,0.0,17.149999999999636,11.789999999999964,0.30728862973758825,0.005247813411087314,0.6874635568513244,-11.779999999999745,5,3,4838.45,4787.03,0.668222481524709,14.475000000000168,NONE,0.0,
2026-04-16 06:00:00,4821.39,4830.68,4814.67,4826.14,13656.0,14,0.0,16.01000000000022,4.75,0.28357276702060596,0.41973766396003515,0.29668956901935883,4.75,6,3,4838.45,4787.03,0.7605989887203525,14.717857142857286,NONE,0.0,
2026-04-16 07:00:00,4826.15,4830.99,4816.96,4821.07,11616.0,15,0.0,14.029999999999745,5.079999999999927,0.3449750534568948,0.292943692088364,0.3620812544547412,-5.0700000000006185,7,3,4838.45,4787.03,0.6619992220925693,14.429285714285795,NONE,0.0,
2026-04-16 08:00:00,4821.11,4822.0,4806.5,4813.79,11863.0,15,0.0,15.5,7.319999999999709,0.0574193548387308,0.4703225806451589,0.47225806451611024,-7.279999999999745,8,3,4838.45,4787.03,0.5204200700116721,14.688571428571517,NONE,0.0,
2026-04-16 09:00:00,4813.79,4818.03,4806.82,4812.83,10190.0,14,0.0,11.210000000000036,0.9600000000000364,0.37823371989293203,0.5361284567350757,0.08563782337199226,-0.9600000000000364,9,3,4838.45,4787.03,0.5017502917152887,14.850714285714405,NONE,0.0,
2026-04-16 10:00:00,4812.83,4817.24,4805.18,4817.2,9876.0,15,0.0,12.05999999999949,4.369999999999891,0.0033167495854034253,0.6343283582089518,0.3623548922056447,4.369999999999891,10,3,4838.45,4787.03,0.5867366783352786,15.08214285714296,NONE,0.0,
2026-04-16 11:00:00,4817.23,4822.54,4815.51,4822.28,8953.0,15,0.0,7.029999999999745,5.050000000000182,0.03698435277385885,0.2446657183498446,0.7183499288762966,5.079999999999927,11,3,4838.45,4787.77,0.6809392265193317,14.732857142857224,NONE,0.0,
2026-04-16 12:00:00,4822.28,4823.16,4811.69,4816.25,10903.0,15,0.0,11.470000000000255,6.029999999999745,0.07672188317350388,0.3975588491717785,0.5257192676547177,-6.029999999999745,12,3,4838.45,4787.77,0.5619573796369359,14.03785714285719,SELL,65.0,sell_002
2026-04-16 13:00:00,4816.28,4823.89,4785.94,4794.86,19347.0,15,0.0,37.95000000000073,21.420000000000073,0.2005270092226729,0.23504611330698028,0.5644268774703468,-21.390000000000327,13,3,4838.45,4785.94,0.16987240525614236,15.375000000000066,SELL,65.0,sell_002
2026-04-16 14:00:00,4794.54,4805.45,4773.1,4788.7,23888.0,15,0.0,32.349999999999454,5.8400000000001455,0.3372488408037106,0.48222565687788926,0.18052550231840012,-6.1599999999998545,14,3,4838.45,4773.1,0.2387146136189684,16.49428571428572,NONE,0.0,
2026-04-16 15:00:00,4788.7,4812.93,4788.29,4806.99,18956.0,15,0.0,24.640000000000327,18.289999999999964,0.24107142857144603,0.01663961038960426,0.7422889610389497,18.289999999999964,15,3,4838.45,4773.1,0.5185921958683963,16.46714285714292,NONE,0.0,
2026-04-16 16:00:00,4807.09,4810.1,4785.17,4792.0,16207.0,14,0.0,24.93000000000029,15.090000000000146,0.12073806658644938,0.2739671079021198,0.6052948255114308,-14.989999999999782,16,3,4838.45,4773.1,0.28921193573067777,17.344285714285757,NONE,0.0,
2026-04-16 17:00:00,4792.03,4795.41,4781.47,4789.28,16893.0,15,0.0,13.9399999999996,2.75,0.2424677187948498,0.5602582496412994,0.1972740315638507,-2.7200000000002547,17,3,4838.45,4773.1,0.24758990053557026,17.769999999999982,NONE,0.0,
2026-04-16 18:00:00,4789.28,4794.24,4785.7,4789.61,15898.0,15,0.0,8.539999999999964,0.32999999999992724,0.5421545667447457,0.4192037470725928,0.038641686182661436,0.32999999999992724,18,3,4838.45,4773.1,0.2526396327467398,17.62928571428568,NONE,0.0,
2026-04-16 19:00:00,4789.61,4798.58,4789.47,4793.67,11478.0,14,0.0,9.109999999999673,4.0600000000004,0.5389681668496192,0.015367727771616132,0.44566410537876466,4.0600000000004,19,3,4838.45,4773.1,0.3147666411629668,17.054999999999968,NONE,0.0,
2026-04-16 20:00:00,4793.66,4793.95,4786.4,4790.8,3347.0,15,0.0,7.550000000000182,2.8599999999996726,0.03841059602648432,0.5827814569537006,0.37880794701981507,-2.869999999999891,20,3,4838.45,4773.1,0.27084927314460544,16.45071428571425,NONE,0.0,
