time,open,high,low,close,tick_volume,spread,real_volume
2026-03-23 17:20:00,4397.93,4402.65,4388.5,4397.87,2501,15,0
2026-03-23 17:25:00,4398.44,4413.78,4398.44,4405.54,2332,15,0
2026-03-23 17:30:00,4405.5,4431.11,4404.19,4428.7,2312,15,0
2026-03-23 17:35:00,4428.7,4438.89,4428.15,4431.31,2273,15,0
2026-03-23 17:40:00,4430.95,4431.33,4419.25,4420.56,2085,15,0
2026-03-23 17:45:00,4420.5,4422.37,4404.7,4408.77,1980,15,0
2026-03-23 17:50:00,4408.68,4424.78,4407.0,4424.37,1973,15,0
2026-03-23 17:55:00,4424.37,4429.65,4419.67,4426.16,2063,15,0
2026-03-23 18:00:00,4426.3,4426.91,4417.9,4423.58,2197,15,0
2026-03-23 18:05:00,4423.58,4429.09,4402.53,4417.52,2406,15,0
2026-03-23 18:10:00,4417.37,4429.0,4417.06,4421.32,2325,15,0
2026-03-23 18:15:00,4421.26,4421.87,4409.83,4415.14,2048,15,0
2026-03-23 18:20:00,4415.14,4417.15,4410.31,4414.5,1978,15,0
2026-03-23 18:25:00,4414.42,4430.77,4414.31,4426.17,2053,15,0
2026-03-23 18:30:00,4426.06,4444.48,4425.62,4443.83,2083,15,0
2026-03-23 18:35:00,4444.28,4454.75,4442.23,4447.47,2202,15,0
2026-03-23 18:40:00,4447.56,4462.16,4446.06,4461.86,2094,15,0
2026-03-23 18:45:00,4461.85,4467.17,4456.99,4466.65,1890,15,0
2026-03-23 18:50:00,4466.63,4466.63,4446.3,4454.45,1977,15,0
2026-03-23 18:55:00,4454.46,4457.09,4448.35,4448.98,1549,15,0
2026-03-23 19:00:00,4448.84,4450.52,4435.85,4436.55,1909,15,0
2026-03-23 19:05:00,4436.59,4440.21,4429.57,4437.59,1954,15,0
2026-03-23 19:10:00,4437.69,4437.85,4403.06,4407.06,1772,15,0
2026-03-23 19:15:00,4407.06,4411.48,4396.71,4405.1,2205,15,0
