label,starting_balance,ending_balance,net_pnl,closed_trades,wins,losses,open_trades,win_rate_pct,profit_factor,max_drawdown_pct,skipped_overlap_signals,candles_processed,decision_rows,events_logged,trades_opened,replay_start,replay_end,slice_kind,slice_name,regime,slice_start,slice_end,expectancy,positive_expectancy,expectancy_values
walk_forward_01,10000.0,9226.59,-773.41,9,0,9,0,0.0,0.0,7.73,48,1100,1100,66,9,2024-12-03 00:00:00,2024-12-08 23:55:00,random_walk_forward,walk_forward_01,MIXED,2024-12-03,2024-12-08 23:55:00,-85.93,0,-87.50|-101.62|-77.55|-85.23|-98.98|-75.55|-83.03|-82.32|-81.62
walk_forward_02,10000.0,10279.02,279.02,11,5,6,0,45.45,1.48,1.89,71,1100,1100,93,11,2025-01-24 00:00:00,2025-01-29 23:55:00,random_walk_forward,walk_forward_02,MIXED,2025-01-24,2025-01-29 23:55:00,25.37,1,-87.50|-101.62|186.05|-102.47|159.65|-87.96|-102.16|154.14|166.61|-94.16|188.45
walk_forward_03,10000.0,10133.64,133.64,4,2,2,0,50.0,1.7,1.03,5,1103,1103,13,4,2025-04-14 00:00:00,2025-04-20 23:55:00,random_walk_forward,walk_forward_03,MIXED,2025-04-14,2025-04-20 23:55:00,33.41,1,-102.50|166.03|159.51|-89.40
walk_forward_04,10000.0,10387.73,387.73,4,3,1,0,75.0,5.23,0.87,1,1100,1100,9,4,2025-05-02 00:00:00,2025-05-07 23:55:00,random_walk_forward,walk_forward_04,MIXED,2025-05-02,2025-05-07 23:55:00,96.93,1,157.58|159.82|161.91|-91.57
walk_forward_05,10000.0,9918.82,-81.18,4,1,3,0,25.0,0.7,1.64,1,1113,1113,9,4,2025-12-07 23:05:00,2025-12-11 23:55:00,random_walk_forward,walk_forward_05,MIXED,2025-12-07,2025-12-11 23:55:00,-20.3,0,-62.50|-101.88|185.91|-102.72
walk_forward_06,10000.0,10000.0,0.0,0,0,0,0,0.0,0.0,0.0,0,1100,1100,0,0,2026-02-05 00:00:00,2026-02-10 23:55:00,random_walk_forward,walk_forward_06,MIXED,2026-02-05,2026-02-10 23:55:00,0.0,0,
