label,starting_balance,ending_balance,net_pnl,closed_trades,wins,losses,open_trades,win_rate_pct,profit_factor,max_drawdown_pct,skipped_overlap_signals,candles_processed,decision_rows,events_logged,trades_opened,replay_start,replay_end,slice_kind,slice_name,regime,slice_start,slice_end,expectancy,positive_expectancy,expectancy_values
CHOPPY_2024-11-19_2024-11-22,10000.0,10102.19,102.19,6,3,3,1,50.0,1.36,2.75,40,940,940,54,7,2024-11-19 12:25:00,2024-11-22 21:40:00,regime,CHOPPY_2024-11-19_2024-11-22,CHOPPY,2024-11-19,2024-11-22 23:55:00,17.03,1,145.96|193.88|-90.39|-89.62|-104.10|46.46
VOLATILE_2024-11-24_2024-11-24,10000.0,10000.0,0.0,0,0,0,0,0.0,0.0,0.0,0,11,11,0,0,2024-11-24 23:05:00,2024-11-24 23:55:00,regime,VOLATILE_2024-11-24_2024-11-24,VOLATILE,2024-11-24,2024-11-24 23:55:00,0.0,0,
CHOPPY_2024-11-25_2024-12-05,10000.0,11408.86,1408.86,25,16,9,1,64.0,3.78,2.32,89,2398,2398,141,26,2024-11-25 00:00:00,2024-12-05 23:55:00,regime,CHOPPY_2024-11-25_2024-12-05,CHOPPY,2024-11-25,2024-12-05 23:55:00,56.35,1,164.94|197.33|48.16|47.30|202.49|171.74|50.88|-67.80|50.12|50.43|126.26|-30.10|51.41|211.16|214.58|-31.22|221.59|-31.70|-101.50|-90.83|53.35|53.49|-31.41|-90.71|-31.10
NEUTRAL_2024-12-06_2024-12-08,10000.0,9958.15,-41.85,2,1,1,0,50.0,0.52,0.87,7,272,272,11,2,2024-12-06 00:00:00,2024-12-08 23:55:00,regime,NEUTRAL_2024-12-06_2024-12-08,NEUTRAL,2024-12-06,2024-12-08 23:55:00,-20.93,0,46.04|-87.89
CHOPPY_2024-12-09_2024-12-11,10000.0,10266.55,266.55,5,3,2,1,60.0,3.01,1.3,27,828,828,39,6,2024-12-09 00:00:00,2024-12-11 23:55:00,regime,CHOPPY_2024-12-09_2024-12-11,CHOPPY,2024-12-09,2024-12-11 23:55:00,53.31,1,46.29|192.37|-104.89|-27.83|160.61
NEUTRAL_2024-12-12_2024-12-12,10000.0,10208.82,208.82,2,2,0,1,100.0,0.0,0.0,7,276,276,13,3,2024-12-12 00:00:00,2024-12-12 23:55:00,regime,NEUTRAL_2024-12-12_2024-12-12,NEUTRAL,2024-12-12,2024-12-12 23:55:00,104.41,1,161.94|46.87
CHOPPY_2024-12-13_2024-12-13,10000.0,9885.23,-114.77,2,0,2,0,0.0,0.0,1.15,8,261,261,12,2,2024-12-13 00:00:00,2024-12-13 21:40:00,regime,CHOPPY_2024-12-13_2024-12-13,CHOPPY,2024-12-13,2024-12-13 23:55:00,-57.38,0,-27.50|-87.27
ALIGNED_RANGE_2024-12-15_2024-12-15,10000.0,10000.0,0.0,0,0,0,0,0.0,0.0,0.0,0,11,11,0,0,2024-12-15 23:05:00,2024-12-15 23:55:00,regime,ALIGNED_RANGE_2024-12-15_2024-12-15,ALIGNED_RANGE,2024-12-15,2024-12-15 23:55:00,0.0,0,
CHOPPY_2024-12-16_2024-12-18,10000.0,9932.06,-67.94,7,3,4,0,42.86,0.79,2.27,62,828,828,76,7,2024-12-16 00:00:00,2024-12-18 23:55:00,regime,CHOPPY_2024-12-16_2024-12-18,CHOPPY,2024-12-16,2024-12-18 23:55:00,-9.71,0,162.35|-104.12|-87.99|45.92|-27.54|46.29|-102.85
ALIGNED_RANGE_2024-12-19_2024-12-19,10000.0,10292.92,292.92,3,2,1,0,66.67,4.35,0.88,8,276,276,14,3,2024-12-19 00:00:00,2024-12-19 23:55:00,regime,ALIGNED_RANGE_2024-12-19_2024-12-19,ALIGNED_RANGE,2024-12-19,2024-12-19 23:55:00,97.64,1,-87.50|188.34|192.09
