time,open,high,low,close,tick_volume,spread,real_volume,MA20,range,momentum,vol_avg,volume_spike,prev_high,prev_low,bos_up,bos_down,trend,zone_high_20,zone_low_20,near_support,near_resistance,candle_range,avg_range_20,direction,flip,flip_count_10,market_state,score,signal,bias
2026-03-23 17:20:00,4397.93,4402.65,4388.5,4397.87,2501,15,0,,14.149999999999636,,,False,,,0,0,neutral,,,0,0,14.149999999999636,,0,1,,RANGING,18,NO_TRADE,NONE
2026-03-23 17:25:00,4398.44,4413.78,4398.44,4405.54,2332,15,0,,15.340000000000146,7.670000000000073,,False,4402.65,4388.5,1,0,bullish,,,0,0,15.340000000000146,,1,1,,RANGING,38,NO_TRADE,NONE
2026-03-23 17:30:00,4405.5,4431.11,4404.19,4428.7,2312,15,0,,26.92000000000008,23.15999999999985,,False,4413.78,4398.44,1,0,bullish,,,0,0,26.920000000000076,,1,0,,RANGING,28,NO_TRADE,NONE
2026-03-23 17:35:00,4428.7,4438.89,4428.15,4431.31,2273,15,0,,10.740000000000691,2.610000000000582,,False,4431.11,4404.19,1,0,bullish,,,0,0,10.740000000000691,,1,0,,RANGING,38,NO_TRADE,NONE
2026-03-23 17:40:00,4430.95,4431.33,4419.25,4420.56,2085,15,0,,12.079999999999927,-10.75,,False,4438.89,4428.15,0,1,bearish,,,0,0,12.079999999999927,,0,1,,RANGING,28,NO_TRADE,NONE
2026-03-23 17:45:00,4420.5,4422.37,4404.7,4408.77,1980,15,0,,17.670000000000073,-11.789999999999964,,False,4431.33,4419.25,0,1,bearish,,,0,0,17.670000000000073,,0,0,,RANGING,28,NO_TRADE,NONE
2026-03-23 17:50:00,4408.68,4424.78,4407.0,4424.37,1973,15,0,,17.779999999999745,15.599999999999454,,False,4422.37,4404.7,1,0,bullish,,,0,0,17.779999999999745,,1,1,,RANGING,28,NO_TRADE,NONE
2026-03-23 17:55:00,4424.37,4429.65,4419.67,4426.16,2063,15,0,,9.979999999999563,1.7899999999999636,,False,4424.78,4407.0,1,0,bullish,,,0,0,9.979999999999563,,1,0,,RANGING,38,NO_TRADE,NONE
2026-03-23 18:00:00,4426.3,4426.91,4417.9,4423.58,2197,15,0,,9.010000000000218,-2.5799999999999272,,False,4429.65,4419.67,0,1,bearish,,,0,0,9.010000000000218,,0,1,,RANGING,38,NO_TRADE,NONE
2026-03-23 18:05:00,4423.58,4429.09,4402.53,4417.52,2406,15,0,,26.5600000000004,-6.059999999999491,,False,4426.91,4417.9,1,1,bearish,,,0,0,26.5600000000004,,0,0,5.0,RANGING,38,NO_TRADE,NONE
2026-03-23 18:10:00,4417.37,4429.0,4417.06,4421.32,2325,15,0,,11.9399999999996,3.799999999999272,,False,4429.09,4402.53,0,0,neutral,,,0,0,11.9399999999996,,1,1,5.0,RANGING,18,NO_TRADE,NONE
2026-03-23 18:15:00,4421.26,4421.87,4409.83,4415.14,2048,15,0,,12.039999999999964,-6.1799999999993815,,False,4429.0,4417.06,0,1,bearish,,,0,0,12.039999999999964,,0,1,5.0,RANGING,38,NO_TRADE,NONE
2026-03-23 18:20:00,4415.14,4417.15,4410.31,4414.5,1978,15,0,,6.839999999999236,-0.6400000000003274,,False,4421.87,4409.83,0,0,neutral,,,0,0,6.839999999999236,,0,0,5.0,RANGING,18,NO_TRADE,NONE
2026-03-23 18:25:00,4414.42,4430.77,4414.31,4426.17,2053,15,0,,16.460000000000036,11.670000000000073,,False,4417.15,4410.31,1,0,bullish,,,0,0,16.460000000000036,,1,1,6.0,CHOPPY,20,NO_TRADE,NONE
2026-03-23 18:30:00,4426.06,4444.48,4425.62,4443.83,2083,15,0,,18.85999999999968,17.659999999999854,,False,4430.77,4414.31,1,0,bullish,,,0,0,18.859999999999676,,1,0,5.0,RANGING,28,NO_TRADE,NONE
2026-03-23 18:35:00,4444.28,4454.75,4442.23,4447.47,2202,15,0,,12.520000000000437,3.640000000000328,,False,4444.48,4425.62,1,0,bullish,,,0,0,12.520000000000437,,1,0,5.0,RANGING,38,NO_TRADE,NONE
2026-03-23 18:40:00,4447.56,4462.16,4446.06,4461.86,2094,15,0,,16.099999999999454,14.389999999999418,,False,4454.75,4442.23,1,0,bullish,,,0,0,16.099999999999454,,1,0,4.0,RANGING,28,NO_TRADE,NONE
2026-03-23 18:45:00,4461.85,4467.17,4456.99,4466.65,1890,15,0,,10.180000000000293,4.789999999999964,,False,4462.16,4446.06,1,0,bullish,,,0,0,10.180000000000293,,1,0,4.0,RANGING,38,NO_TRADE,NONE
2026-03-23 18:50:00,4466.63,4466.63,4446.3,4454.45,1977,15,0,,20.329999999999927,-12.199999999999818,,False,4467.17,4456.99,0,1,bearish,,,0,0,20.329999999999927,,0,1,4.0,RANGING,38,NO_TRADE,NONE
2026-03-23 18:55:00,4454.46,4457.09,4448.35,4448.98,1549,15,0,4429.2375,8.739999999999782,-5.470000000000255,2116.05,False,4466.63,4446.3,0,0,neutral,4467.17,4388.5,0,0,8.739999999999782,14.711999999999945,0,0,4.0,RANGING,8,NO_TRADE,NONE
