time,open,high,low,close,tick_volume,spread,real_volume
2024-11-19 12:25:00,2635.11,2636.15,2634.74,2635.87,1004.0,4,0.0
2024-11-19 12:30:00,2635.87,2636.81,2635.11,2635.71,851.0,4,0.0
2024-11-19 12:35:00,2635.71,2636.75,2635.43,2636.3,778.0,4,0.0
2024-11-19 12:40:00,2636.3,2636.99,2635.19,2635.33,816.0,4,0.0
2024-11-19 12:45:00,2635.33,2635.36,2633.78,2634.15,994.0,4,0.0
2024-11-19 12:50:00,2634.15,2635.72,2633.21,2635.65,1206.0,4,0.0
2024-11-19 12:55:00,2635.65,2639.43,2635.57,2639.26,1319.0,4,0.0
2024-11-19 13:00:00,2639.26,2639.49,2637.46,2638.06,1604.0,4,0.0
2024-11-19 13:05:00,2638.06,2639.01,2636.94,2638.19,1188.0,4,0.0
2024-11-19 13:10:00,2638.19,2638.39,2636.55,2637.93,895.0,4,0.0
2024-11-19 13:15:00,2637.93,2638.27,2633.53,2634.34,1284.0,4,0.0
2024-11-19 13:20:00,2634.09,2634.3,2630.13,2631.71,1754.0,4,0.0
2024-11-19 13:25:00,2631.52,2632.32,2629.57,2630.13,1258.0,4,0.0
2024-11-19 13:30:00,2630.13,2633.71,2629.28,2633.69,1757.0,4,0.0
2024-11-19 13:35:00,2633.69,2635.94,2632.6,2632.74,1309.0,4,0.0
2024-11-19 13:40:00,2632.68,2636.33,2632.68,2634.8,1372.0,4,0.0
2024-11-19 13:45:00,2634.79,2635.21,2632.42,2632.91,1359.0,4,0.0
2024-11-19 13:50:00,2632.91,2636.56,2632.51,2636.32,1397.0,4,0.0
2024-11-19 13:55:00,2636.24,2636.94,2634.64,2635.25,1417.0,4,0.0
2024-11-19 14:00:00,2635.25,2636.96,2634.34,2635.61,1740.0,4,0.0
2024-11-19 14:05:00,2635.58,2635.76,2629.84,2632.23,2082.0,4,0.0
2024-11-19 14:10:00,2632.23,2632.35,2629.82,2630.17,1640.0,4,0.0
2024-11-19 14:15:00,2630.17,2630.89,2624.59,2626.12,1869.0,4,0.0
2024-11-19 14:20:00,2626.12,2626.82,2624.37,2625.27,1824.0,4,0.0
2024-11-19 14:25:00,2625.27,2629.17,2625.27,2628.24,1584.0,4,0.0
2024-11-19 14:30:00,2628.25,2629.97,2626.24,2627.24,1967.0,4,0.0
2024-11-19 14:35:00,2627.25,2629.36,2626.3,2627.22,1758.0,4,0.0
2024-11-19 14:40:00,2627.22,2630.03,2626.87,2629.88,1755.0,4,0.0
2024-11-19 14:45:00,2629.88,2631.01,2628.47,2629.11,1490.0,4,0.0
2024-11-19 14:50:00,2629.09,2629.09,2624.96,2625.83,1751.0,4,0.0
2024-11-19 14:55:00,2625.82,2627.0,2622.77,2623.44,1966.0,4,0.0
2024-11-19 15:00:00,2623.46,2625.57,2622.32,2623.89,2181.0,4,0.0
2024-11-19 15:05:00,2623.85,2626.67,2623.77,2626.31,1769.0,4,0.0
2024-11-19 15:10:00,2626.31,2628.24,2625.96,2628.11,1416.0,4,0.0
2024-11-19 15:15:00,2628.09,2628.67,2625.13,2626.16,1451.0,4,0.0
2024-11-19 15:20:00,2626.15,2627.83,2624.84,2627.46,866.0,4,0.0
2024-11-19 15:25:00,2627.46,2628.46,2626.84,2627.8,1410.0,4,0.0
2024-11-19 15:30:00,2627.76,2628.33,2623.41,2624.29,1775.0,4,0.0
2024-11-19 15:35:00,2624.27,2624.61,2620.97,2624.39,1829.0,4,0.0
2024-11-19 15:40:00,2624.39,2626.92,2624.04,2626.56,1594.0,4,0.0
2024-11-19 15:45:00,2626.55,2627.53,2624.32,2624.62,1372.0,4,0.0
2024-11-19 15:50:00,2624.62,2624.71,2622.29,2623.7,1376.0,4,0.0
2024-11-19 15:55:00,2623.7,2625.1,2623.33,2624.48,1360.0,4,0.0
2024-11-19 16:00:00,2624.48,2625.6,2623.25,2623.94,1260.0,4,0.0
2024-11-19 16:05:00,2623.91,2625.99,2623.29,2625.55,1040.0,4,0.0
2024-11-19 16:10:00,2625.55,2626.26,2624.05,2625.12,1110.0,4,0.0
2024-11-19 16:15:00,2625.12,2628.49,2625.12,2628.22,1497.0,4,0.0
2024-11-19 16:20:00,2628.2,2628.49,2625.22,2625.52,1281.0,4,0.0
2024-11-19 16:25:00,2625.52,2625.55,2624.02,2624.28,1394.0,4,0.0
2024-11-19 16:30:00,2624.28,2625.41,2623.34,2623.48,1313.0,4,0.0
2024-11-19 16:35:00,2623.48,2624.07,2623.1,2623.99,1352.0,4,0.0
2024-11-19 16:40:00,2623.93,2624.87,2623.14,2623.18,1205.0,4,0.0
2024-11-19 16:45:00,2623.18,2624.37,2622.35,2623.47,1103.0,4,0.0
2024-11-19 16:50:00,2623.47,2626.37,2623.24,2626.18,1230.0,4,0.0
2024-11-19 16:55:00,2626.18,2626.62,2625.25,2626.45,1231.0,4,0.0
2024-11-19 17:00:00,2626.45,2627.47,2625.64,2627.13,932.0,4,0.0
2024-11-19 17:05:00,2627.13,2628.72,2626.8,2628.36,897.0,4,0.0
