time,open,high,low,close,tick_volume,spread,real_volume
2024-04-22 16:00:00,2334.86,2336.54,2328.98,2330.63,8274.0,7,0.0
2024-04-22 17:00:00,2330.63,2334.83,2329.61,2330.39,6643.0,7,0.0
2024-04-22 18:00:00,2330.38,2331.03,2324.6,2327.45,4903.0,7,0.0
2024-04-22 19:00:00,2327.41,2331.7,2327.41,2329.56,3868.0,7,0.0
2024-04-22 20:00:00,2329.57,2330.24,2325.29,2327.14,1779.0,7,0.0
2024-04-22 22:00:00,2328.53,2331.49,2326.97,2330.43,3323.0,7,0.0
2024-04-22 23:00:00,2330.4,2333.96,2328.18,2333.63,3781.0,7,0.0
2024-04-23 00:00:00,2333.65,2333.86,2330.13,2332.9,4779.0,7,0.0
2024-04-23 01:00:00,2332.89,2334.45,2295.62,2299.1,22064.0,7,0.0
2024-04-23 02:00:00,2299.12,2314.31,2298.36,2301.52,18383.0,7,0.0
2024-04-23 03:00:00,2301.51,2307.24,2300.98,2302.68,9673.0,7,0.0
2024-04-23 04:00:00,2302.67,2308.15,2301.79,2305.19,6005.0,7,0.0
2024-04-23 05:00:00,2305.19,2314.79,2304.39,2308.56,10973.0,7,0.0
2024-04-23 06:00:00,2308.56,2310.03,2298.9,2302.11,12730.0,7,0.0
2024-04-23 07:00:00,2302.11,2311.28,2301.27,2308.93,10684.0,7,0.0
2024-04-23 08:00:00,2308.94,2309.73,2301.92,2302.92,9220.0,7,0.0
2024-04-23 09:00:00,2302.92,2303.45,2291.53,2295.75,12057.0,7,0.0
2024-04-23 10:00:00,2295.76,2306.13,2295.51,2303.13,8420.0,7,0.0
2024-04-23 11:00:00,2303.13,2303.14,2299.83,2302.06,8585.0,7,0.0
2024-04-23 12:00:00,2302.06,2313.61,2301.28,2310.37,15499.0,7,0.0
2024-04-23 13:00:00,2310.3,2332.08,2309.6,2331.91,24212.0,7,0.0
2024-04-23 14:00:00,2331.89,2332.1,2314.51,2321.17,27905.0,7,0.0
2024-04-23 15:00:00,2321.2,2324.55,2315.25,2323.38,15464.0,7,0.0
2024-04-23 16:00:00,2323.42,2331.19,2321.8,2330.35,11854.0,7,0.0
2024-04-23 17:00:00,2330.36,2331.34,2325.12,2326.43,9421.0,7,0.0
2024-04-23 18:00:00,2326.44,2329.77,2323.64,2324.39,5436.0,7,0.0
2024-04-23 19:00:00,2324.4,2325.11,2321.31,2322.8,4217.0,7,0.0
2024-04-23 20:00:00,2322.81,2323.3,2321.42,2322.11,1643.0,7,0.0
2024-04-23 22:00:00,2322.11,2323.1,2321.37,2321.99,1845.0,7,0.0
2024-04-23 23:00:00,2322.01,2324.33,2321.93,2323.31,2319.0,7,0.0
2024-04-24 00:00:00,2323.32,2323.58,2320.34,2320.36,4164.0,7,0.0
2024-04-24 01:00:00,2320.33,2323.16,2316.05,2318.18,10447.0,7,0.0
2024-04-24 02:00:00,2318.12,2322.22,2315.82,2321.68,7980.0,7,0.0
2024-04-24 03:00:00,2321.69,2328.19,2320.93,2327.97,7236.0,7,0.0
2024-04-24 04:00:00,2327.97,2330.14,2325.23,2326.52,4933.0,7,0.0
2024-04-24 05:00:00,2326.51,2329.93,2324.57,2328.98,6904.0,7,0.0
2024-04-24 06:00:00,2328.97,2331.26,2324.29,2326.38,10276.0,7,0.0
2024-04-24 07:00:00,2326.38,2326.58,2320.65,2320.75,8724.0,7,0.0
2024-04-24 08:00:00,2320.76,2321.95,2316.17,2318.88,7976.0,7,0.0
2024-04-24 09:00:00,2318.87,2319.39,2311.82,2315.08,8747.0,7,0.0
2024-04-24 10:00:00,2315.12,2318.53,2314.41,2316.47,5668.0,7,0.0
2024-04-24 11:00:00,2316.47,2317.04,2313.17,2316.55,6251.0,7,0.0
2024-04-24 12:00:00,2316.56,2323.5,2312.16,2322.88,15274.0,7,0.0
2024-04-24 13:00:00,2322.84,2325.99,2316.11,2321.54,21048.0,7,0.0
2024-04-24 14:00:00,2321.55,2332.65,2316.9,2332.25,18638.0,7,0.0
2024-04-24 15:00:00,2332.25,2337.29,2322.16,2322.19,16630.0,7,0.0
2024-04-24 16:00:00,2322.18,2326.4,2321.88,2325.25,10227.0,7,0.0
2024-04-24 17:00:00,2325.25,2330.57,2321.89,2324.51,8855.0,7,0.0
2024-04-24 18:00:00,2324.46,2324.62,2318.67,2320.35,5392.0,7,0.0
2024-04-24 19:00:00,2320.4,2322.48,2317.79,2319.56,4575.0,7,0.0
2024-04-24 20:00:00,2319.57,2319.64,2313.74,2315.94,3181.0,7,0.0
2024-04-24 22:00:00,2316.38,2318.66,2315.45,2317.91,1709.0,7,0.0
2024-04-24 23:00:00,2317.96,2318.29,2315.48,2316.27,2764.0,7,0.0
2024-04-25 00:00:00,2316.28,2319.44,2315.51,2318.81,3501.0,7,0.0
2024-04-25 01:00:00,2318.83,2320.72,2316.03,2319.05,7355.0,7,0.0
2024-04-25 02:00:00,2319.04,2322.1,2318.92,2319.72,5483.0,7,0.0
2024-04-25 03:00:00,2319.71,2320.71,2305.17,2313.84,10658.0,7,0.0
2024-04-25 04:00:00,2313.81,2315.89,2312.4,2315.5,3189.0,7,0.0
2024-04-25 05:00:00,2315.44,2320.79,2314.48,2319.44,6616.0,7,0.0
2024-04-25 06:00:00,2319.44,2323.47,2317.8,2322.97,9084.0,7,0.0
2024-04-25 07:00:00,2322.98,2326.15,2320.3,2325.8,7194.0,7,0.0
2024-04-25 08:00:00,2325.79,2328.85,2324.95,2327.0,7386.0,7,0.0
2024-04-25 09:00:00,2327.0,2327.66,2324.18,2324.94,5539.0,7,0.0
2024-04-25 10:00:00,2324.96,2328.71,2324.3,2327.89,5055.0,7,0.0
2024-04-25 11:00:00,2327.89,2330.63,2326.76,2328.43,6391.0,7,0.0
2024-04-25 12:00:00,2328.42,2334.7,2323.38,2330.2,20600.0,7,0.0
2024-04-25 13:00:00,2330.2,2330.86,2312.9,2318.5,28686.0,7,0.0
2024-04-25 14:00:00,2318.48,2344.83,2317.03,2332.25,27076.0,7,0.0
2024-04-25 15:00:00,2332.24,2336.74,2327.2,2329.62,16656.0,7,0.0
2024-04-25 16:00:00,2329.62,2332.45,2322.99,2329.05,10090.0,7,0.0
2024-04-25 17:00:00,2329.05,2332.39,2326.32,2332.19,8208.0,7,0.0
2024-04-25 18:00:00,2332.18,2335.03,2330.66,2333.01,6430.0,7,0.0
2024-04-25 19:00:00,2333.02,2336.47,2331.58,2333.0,4815.0,7,0.0
2024-04-25 20:00:00,2332.99,2333.75,2330.96,2332.37,1956.0,7,0.0
2024-04-25 22:00:00,2332.06,2333.45,2331.76,2332.65,1390.0,7,0.0
2024-04-25 23:00:00,2332.63,2332.67,2330.11,2330.89,1947.0,7,0.0
2024-04-26 00:00:00,2330.85,2331.51,2328.72,2329.13,2367.0,7,0.0
2024-04-26 01:00:00,2329.13,2333.21,2326.33,2331.65,6613.0,7,0.0
2024-04-26 02:00:00,2331.64,2336.28,2331.17,2334.02,6503.0,7,0.0
2024-04-26 03:00:00,2334.03,2334.89,2332.22,2334.68,5519.0,7,0.0
2024-04-26 04:00:00,2334.65,2338.07,2333.58,2335.59,4449.0,7,0.0
2024-04-26 05:00:00,2335.58,2338.58,2334.0,2337.49,5183.0,7,0.0
2024-04-26 06:00:00,2337.51,2343.17,2337.45,2340.79,8550.0,7,0.0
2024-04-26 07:00:00,2340.77,2347.02,2338.17,2345.42,9848.0,7,0.0
2024-04-26 08:00:00,2345.41,2350.19,2344.12,2347.17,13717.0,7,0.0
2024-04-26 09:00:00,2347.23,2352.58,2346.86,2349.37,8142.0,7,0.0
2024-04-26 10:00:00,2349.38,2350.4,2345.84,2348.11,6891.0,7,0.0
2024-04-26 11:00:00,2348.07,2348.58,2343.5,2344.61,7418.0,7,0.0
2024-04-26 12:00:00,2344.63,2351.57,2340.62,2345.1,19848.0,7,0.0
2024-04-26 13:00:00,2345.12,2350.4,2336.92,2341.4,24918.0,7,0.0
2024-04-26 14:00:00,2341.4,2345.29,2328.71,2333.71,22122.0,7,0.0
2024-04-26 15:00:00,2333.73,2337.72,2331.28,2336.57,17360.0,7,0.0
2024-04-26 16:00:00,2336.51,2339.03,2333.07,2334.09,9715.0,7,0.0
2024-04-26 17:00:00,2334.06,2340.37,2332.71,2338.5,6130.0,7,0.0
2024-04-26 18:00:00,2338.51,2341.42,2337.77,2340.8,3778.0,7,0.0
2024-04-26 19:00:00,2340.79,2340.79,2336.14,2339.76,3920.0,7,0.0
2024-04-26 20:00:00,2339.73,2340.03,2336.61,2337.08,2533.0,7,0.0
2024-04-28 22:00:00,2333.88,2336.17,2332.6,2334.69,2688.0,7,0.0
2024-04-28 23:00:00,2334.68,2336.86,2334.36,2335.77,2341.0,7,0.0
2024-04-29 00:00:00,2335.81,2336.28,2329.63,2329.67,3958.0,7,0.0
2024-04-29 01:00:00,2329.66,2331.51,2319.98,2331.35,15974.0,7,0.0
2024-04-29 02:00:00,2331.31,2331.43,2323.67,2324.14,9265.0,7,0.0
2024-04-29 03:00:00,2324.15,2329.47,2323.92,2328.72,6840.0,7,0.0
2024-04-29 04:00:00,2328.7,2333.27,2327.44,2332.67,18584.0,7,0.0
2024-04-29 05:00:00,2332.67,2336.55,2329.42,2330.53,12758.0,7,0.0
2024-04-29 06:00:00,2330.57,2333.61,2327.53,2329.48,11846.0,7,0.0
2024-04-29 07:00:00,2329.48,2337.93,2329.21,2337.21,18471.0,7,0.0
2024-04-29 08:00:00,2337.16,2341.28,2336.24,2338.21,10461.0,7,0.0
2024-04-29 09:00:00,2338.22,2344.38,2336.76,2343.22,8390.0,7,0.0
2024-04-29 10:00:00,2343.23,2344.11,2340.05,2341.2,6626.0,7,0.0
2024-04-29 11:00:00,2341.18,2342.99,2335.42,2337.46,7368.0,7,0.0
2024-04-29 12:00:00,2337.44,2337.55,2328.39,2331.64,13457.0,7,0.0
2024-04-29 13:00:00,2331.63,2336.61,2325.69,2334.54,21350.0,7,0.0
2024-04-29 14:00:00,2334.57,2339.53,2334.0,2337.67,15155.0,7,0.0
2024-04-29 15:00:00,2337.68,2338.95,2332.78,2337.8,9183.0,7,0.0
2024-04-29 16:00:00,2337.83,2346.74,2337.66,2342.99,13055.0,7,0.0
2024-04-29 17:00:00,2343.0,2346.66,2339.81,2342.32,7919.0,7,0.0
2024-04-29 18:00:00,2342.31,2343.83,2337.73,2340.05,6111.0,7,0.0
2024-04-29 19:00:00,2340.03,2340.13,2333.01,2335.8,7658.0,7,0.0
2024-04-29 20:00:00,2335.81,2337.2,2335.21,2335.34,1746.0,7,0.0
2024-04-29 22:00:00,2335.06,2336.34,2333.79,2335.05,1663.0,7,0.0
2024-04-29 23:00:00,2335.04,2335.07,2332.6,2332.62,2449.0,7,0.0
2024-04-30 00:00:00,2332.63,2335.28,2331.74,2335.24,4236.0,7,0.0
2024-04-30 01:00:00,2335.2,2336.19,2332.47,2334.42,7587.0,7,0.0
2024-04-30 02:00:00,2334.4,2334.49,2326.91,2330.99,8598.0,7,0.0
2024-04-30 03:00:00,2331.02,2331.69,2328.61,2329.29,6013.0,7,0.0
2024-04-30 04:00:00,2329.3,2329.51,2325.0,2326.41,4464.0,7,0.0
2024-04-30 05:00:00,2326.42,2327.01,2321.8,2322.91,9147.0,7,0.0
2024-04-30 06:00:00,2322.97,2323.58,2318.85,2322.47,12210.0,7,0.0
2024-04-30 07:00:00,2322.46,2322.5,2315.4,2317.54,9985.0,7,0.0
2024-04-30 08:00:00,2317.53,2318.51,2310.75,2312.59,9065.0,7,0.0
2024-04-30 09:00:00,2312.59,2317.43,2312.35,2314.88,8580.0,7,0.0
2024-04-30 10:00:00,2314.83,2318.0,2314.28,2315.11,6583.0,7,0.0
2024-04-30 11:00:00,2315.13,2315.6,2309.63,2312.74,9317.0,7,0.0
2024-04-30 12:00:00,2312.73,2313.43,2304.73,2306.12,20879.0,7,0.0
2024-04-30 13:00:00,2306.12,2313.29,2302.92,2307.79,23210.0,7,0.0
2024-04-30 14:00:00,2307.81,2310.8,2293.19,2293.28,27201.0,7,0.0
2024-04-30 15:00:00,2293.4,2300.56,2293.23,2295.94,16595.0,7,0.0
2024-04-30 16:00:00,2295.94,2299.33,2294.47,2294.72,10750.0,7,0.0
2024-04-30 17:00:00,2294.71,2297.31,2291.57,2295.98,9405.0,7,0.0
2024-04-30 18:00:00,2295.96,2297.54,2290.0,2290.14,5854.0,7,0.0
2024-04-30 19:00:00,2290.14,2294.9,2289.35,2290.84,7472.0,7,0.0
2024-04-30 20:00:00,2290.67,2293.51,2285.08,2285.69,5393.0,7,0.0
2024-04-30 22:00:00,2285.39,2292.03,2285.39,2291.46,2385.0,7,0.0
2024-04-30 23:00:00,2291.46,2293.28,2290.0,2291.37,2543.0,7,0.0
2024-05-01 00:00:00,2291.33,2292.91,2285.76,2286.89,4918.0,7,0.0
2024-05-01 01:00:00,2286.89,2289.49,2286.01,2288.06,4504.0,7,0.0
2024-05-01 02:00:00,2288.07,2288.67,2286.81,2288.04,3346.0,7,0.0
2024-05-01 03:00:00,2288.03,2288.39,2283.12,2284.17,3925.0,7,0.0
2024-05-01 04:00:00,2284.17,2285.5,2281.66,2283.26,4818.0,7,0.0
2024-05-01 05:00:00,2283.24,2288.5,2282.62,2287.52,4758.0,7,0.0
2024-05-01 06:00:00,2287.52,2289.77,2286.5,2286.89,5549.0,7,0.0
2024-05-01 07:00:00,2286.87,2288.0,2283.53,2285.88,6665.0,7,0.0
2024-05-01 08:00:00,2285.87,2286.83,2283.81,2286.32,6983.0,7,0.0
2024-05-01 09:00:00,2286.32,2293.14,2285.8,2291.97,8161.0,7,0.0
2024-05-01 10:00:00,2292.02,2294.31,2289.17,2293.2,7217.0,7,0.0
2024-05-01 11:00:00,2293.2,2297.13,2291.44,2294.6,7182.0,7,0.0
2024-05-01 12:00:00,2294.6,2300.01,2294.23,2298.32,16395.0,7,0.0
2024-05-01 13:00:00,2298.32,2303.51,2295.24,2302.48,16601.0,7,0.0
2024-05-01 14:00:00,2302.48,2310.49,2297.39,2304.57,24120.0,7,0.0
2024-05-01 15:00:00,2304.62,2310.45,2302.57,2307.29,13212.0,7,0.0
2024-05-01 16:00:00,2307.29,2307.41,2301.89,2303.75,8521.0,7,0.0
2024-05-01 17:00:00,2303.73,2305.05,2297.63,2299.38,7633.0,7,0.0
2024-05-01 18:00:00,2299.48,2328.32,2295.53,2325.32,33807.0,10,0.0
2024-05-01 19:00:00,2325.3,2327.9,2309.79,2309.8,21857.0,10,0.0
2024-05-01 20:00:00,2309.83,2320.59,2307.07,2319.45,13403.0,7,0.0
2024-05-01 22:00:00,2319.31,2323.31,2318.01,2320.89,3412.0,7,0.0
2024-05-01 23:00:00,2320.89,2324.87,2320.77,2323.77,4456.0,7,0.0
