time,open,high,low,close,tick_volume,spread,real_volume,volume
2026-04-24 01:00:00,4694.05,4702.05,4689.98,4693.2,8025,4,0,8025
2026-04-24 02:00:00,4693.13,4700.77,4686.73,4695.43,11157,4,0,11157
2026-04-24 03:00:00,4695.43,4707.85,4690.91,4704.62,18690,4,0,18690
2026-04-24 04:00:00,4704.61,4711.05,4690.29,4699.59,23072,4,0,23072
2026-04-24 05:00:00,4699.6,4700.73,4673.14,4676.72,20478,4,0,20478
2026-04-24 06:00:00,4676.72,4678.32,4668.67,4672.16,17105,4,0,17105
2026-04-24 07:00:00,4672.14,4676.86,4657.74,4674.49,15278,4,0,15278
2026-04-24 08:00:00,4674.51,4687.36,4669.67,4686.41,16309,4,0,16309
2026-04-24 09:00:00,4686.41,4688.08,4666.76,4671.83,18258,4,0,18258
2026-04-24 10:00:00,4671.83,4695.32,4671.04,4694.53,14343,4,0,14343
2026-04-24 11:00:00,4694.53,4697.4,4685.1,4690.83,16708,4,0,16708
2026-04-24 12:00:00,4690.83,4696.75,4679.28,4682.11,16177,4,0,16177
2026-04-24 13:00:00,4682.11,4686.19,4674.56,4677.78,14142,4,0,14142
2026-04-24 14:00:00,4677.78,4717.24,4677.73,4706.88,27274,4,0,27274
2026-04-24 15:00:00,4706.91,4711.76,4690.39,4700.73,22522,4,0,22522
2026-04-24 16:00:00,4700.96,4717.51,4689.68,4711.65,27254,4,0,27254
2026-04-24 17:00:00,4711.65,4740.29,4706.82,4726.39,33652,4,0,33652
2026-04-24 18:00:00,4726.39,4733.6,4714.74,4727.09,27869,4,0,27869
2026-04-24 19:00:00,4727.09,4729.69,4719.04,4726.89,22429,4,0,22429
2026-04-24 20:00:00,4726.89,4730.13,4718.94,4723.34,20212,4,0,20212
2026-04-24 21:00:00,4723.34,4724.79,4716.61,4722.69,16202,4,0,16202
2026-04-24 22:00:00,4722.7,4726.06,4713.66,4716.45,16445,4,0,16445
2026-04-27 01:00:00,4698.27,4699.83,4679.96,4684.69,12650,4,0,12650
2026-04-27 02:00:00,4684.69,4684.89,4674.81,4679.96,11059,4,0,11059
2026-04-27 03:00:00,4679.96,4698.2,4672.06,4697.77,16162,4,0,16162
2026-04-27 04:00:00,4697.78,4709.69,4690.81,4702.74,23918,4,0,23918
2026-04-27 05:00:00,4702.74,4723.5,4696.24,4718.29,17309,4,0,17309
