time,open,high,low,close,tick_volume,spread,real_volume,volume,prev_close,momentum,ema20,slope,high_20,low_20,tr,atr14,avg_tr_20,range,range_mean,candle_expansion,volatility,trend_up,trend_down,breakout,reversal,flip,flip_count_10,choppy,confidence_base,behavior_label,behavior_confidence,swing_high,swing_low,swing_high_value,swing_low_value,last_swing_high,last_swing_low,prev_swing_high,prev_swing_low,bos_up,bos_down,bos,structure_state,choch,double_top,double_bottom,break_retest,pattern,date,hour,session,daily_high,daily_low,session_high,session_low,support_level,resistance_level,is_support,is_resistance,supply_zone,demand_zone,order_block,fvg_zone,support_strength,resistance_strength,alpha_score,alpha_signal,alpha_notes,flow_score,flow_signal,flow_notes,signal,signal_owner,confirm_score,position_risk_pct,position_risk,stop_distance,direction,entry_price,stop_loss,take_profit,position_size,daily_loss_locked,trade_allowed,quality,confirmed_signal,market_regime
2026-04-27 01:00:00,4698.27,4699.83,4692.29,4696.9,2008,15,0,2008,,,4696.9,0.0,,,7.539999999999964,7.539999999999964,7.539999999999964,7.539999999999964,7.539999999999964,False,0,0,0,0,0,0,0.0,0,50,RANGE,50,False,False,,,,,,,0,0,0,NEUTRAL,0,0,0,0,NONE,2026-04-27,1,ASIA,4730.11,4667.22,0,0,4692.29,4699.83,1,1,0,0,0,0,1.0,1.0,20,,,38,,,NO_TRADE,NO_TRADE,0.0,0.0,0.0,13.571999999999935,LONG,4696.9,4683.3279999999995,4724.044,0.0,False,False,NONE,no_trade,RANGE
2026-04-27 01:05:00,4697.02,4697.02,4681.4,4681.7,1906,4,0,1906,4696.9,-15.199999999999818,4695.452380952381,-1.4476190476189004,4699.83,4692.29,15.6200000000008,11.580000000000382,11.580000000000382,15.6200000000008,11.580000000000382,True,0,0,0,1,0,0,0.0,0,50,BREAKOUT,76,False,False,,,,,,,0,0,0,NEUTRAL,0,0,0,0,NONE,2026-04-27,1,ASIA,4730.11,4667.22,0,0,4681.4,4699.83,1,1,0,1,0,0,1.8,1.0,28,,,51,,,NO_TRADE,NO_TRADE,0.0,0.0,0.0,20.844000000000687,LONG,4681.7,4660.855999999999,4723.388000000001,0.0,False,False,NONE,no_trade,BREAKOUT
2026-04-27 01:10:00,4681.7,4685.75,4679.96,4685.3,1429,4,0,1429,4681.7,3.600000000000364,4694.485487528345,-0.9668934240353337,4699.83,4681.4,5.789999999999964,9.650000000000242,9.650000000000242,5.789999999999964,9.650000000000242,False,0,0,0,0,0,1,1.0,0,50,RANGE,50,False,True,,4679.96,,4679.96,,,0,0,0,NEUTRAL,0,0,0,0,NONE,2026-04-27,1,ASIA,4730.11,4667.22,0,0,4679.96,4699.83,1,1,0,1,1,0,1.8,1.0,30,,,56,FLOW,exploratory,FLOW,FLOW,56.0,0.005,5.0,17.370000000000434,LONG,4685.3,4667.929999999999,4720.040000000001,0.2878526194588299,False,True,MEDIUM,buy,RANGE
2026-04-27 01:15:00,4685.41,4688.65,4684.05,4688.65,824,4,0,824,4685.3,3.3499999999994543,4693.9297268113605,-0.555760716984878,4699.83,4679.96,4.599999999999454,8.387500000000045,8.387500000000045,4.599999999999454,8.387500000000045,False,0,0,0,0,0,1,1.0,0,50,RANGE,50,True,False,4688.65,,4688.65,4679.96,,4679.96,0,0,0,NEUTRAL,0,0,0,0,NONE,2026-04-27,1,ASIA,4730.11,4667.22,0,0,4679.96,4699.83,1,1,0,0,0,0,1.0,1.0,20,,,38,,,NO_TRADE,NO_TRADE,0.0,0.0,0.0,15.097500000000082,LONG,4688.65,4673.5525,4718.844999999999,0.0,False,False,NONE,no_trade,RANGE
2026-04-27 01:20:00,4688.65,4688.65,4683.22,4684.72,815,4,0,815,4688.65,-3.9299999999993815,4693.052609972184,-0.8771168391767787,4699.83,4679.96,5.4299999999993815,7.795999999999912,7.795999999999912,5.4299999999993815,7.795999999999912,False,0,0,0,0,0,0,2.0,0,50,RANGE,50,False,False,,,4688.65,4679.96,4688.65,4679.96,0,0,0,NEUTRAL,0,0,0,0,NONE,2026-04-27,1,ASIA,4730.11,4667.22,0,0,4679.96,4699.83,1,1,0,0,0,0,1.0,1.0,20,,,38,,,NO_TRADE,NO_TRADE,0.0,0.0,0.0,14.032799999999842,LONG,4684.72,4670.6872,4712.7856,0.0,False,False,NONE,no_trade,RANGE
2026-04-27 01:25:00,4684.83,4687.51,4682.99,4686.88,783,4,0,783,4684.72,2.1599999999998545,4692.464742355785,-0.5878676163983982,4699.83,4679.96,4.520000000000437,7.25,7.25,4.520000000000437,7.25,False,0,0,1,0,0,1,3.0,0,50,TREND_DOWN,73,False,False,,,4688.65,4679.96,4688.65,4679.96,0,0,0,NEUTRAL,0,0,0,0,NONE,2026-04-27,1,ASIA,4730.11,4667.22,0,0,4679.96,4699.83,1,1,0,0,1,0,1.0,1.0,58,,,35,,,NO_TRADE,NO_TRADE,0.0,0.0,0.0,13.05,SHORT,4686.88,4699.93,4660.78,0.0,False,False,NONE,no_trade,TREND_DOWN
2026-04-27 01:30:00,4686.88,4686.9,4682.15,4683.52,872,4,0,872,4686.88,-3.3599999999996726,4691.612862131425,-0.8518802243606842,4699.83,4679.96,4.75,6.892857142857143,6.892857142857143,4.75,6.892857142857143,False,0,0,0,0,0,0,4.0,1,50,CHOPPY,40,False,True,,4682.15,4688.65,4682.15,4688.65,4679.96,0,0,0,HL,0,0,0,0,NONE,2026-04-27,1,ASIA,4730.11,4667.22,0,0,4679.96,4699.83,1,1,0,0,0,0,1.0,1.0,10,,,34,,,NO_TRADE,NO_TRADE,0.0,0.0,0.0,12.407142857142858,LONG,4683.52,4671.112857142857,4708.334285714286,0.0,False,False,NONE,no_trade,CHOPPY
2026-04-27 01:35:00,4683.52,4686.28,4683.35,4686.16,812,4,0,812,4683.52,2.639999999999418,4691.0935419284315,-0.5193202029931854,4699.83,4679.96,2.9299999999993815,6.397499999999923,6.397499999999923,2.9299999999993815,6.397499999999923,False,0,0,0,0,0,1,5.0,1,50,CHOPPY,40,False,False,,,4688.65,4682.15,4688.65,4682.15,0,0,0,NEUTRAL,0,0,0,0,NONE,2026-04-27,1,ASIA,4730.11,4667.22,0,0,4679.96,4699.83,1,1,0,0,1,0,1.0,1.0,20,,,32,,,NO_TRADE,NO_TRADE,0.0,0.0,0.0,11.51549999999986,LONG,4686.16,4674.6445,4709.191,0.0,False,False,NONE,no_trade,CHOPPY
2026-04-27 01:40:00,4686.16,4686.28,4684.02,4684.67,780,4,0,780,4686.16,-1.4899999999997817,4690.481776030486,-0.6117658979455882,4699.83,4679.96,2.259999999999309,5.937777777777632,5.937777777777632,2.259999999999309,5.937777777777632,False,0,0,1,0,0,0,6.0,1,50,TREND_DOWN,73,False,False,,,4688.65,4682.15,4688.65,4682.15,0,0,0,NEUTRAL,0,0,0,0,NONE,2026-04-27,1,ASIA,4730.11,4667.22,0,0,4679.96,4699.83,1,1,0,0,0,0,1.0,1.0,38,,,27,,,NO_TRADE,NO_TRADE,0.0,0.0,0.0,10.687999999999738,SHORT,4684.67,4695.358,4663.294000000001,0.0,False,False,NONE,no_trade,TREND_DOWN
2026-04-27 01:45:00,4684.67,4685.7,4683.6,4684.99,763,4,0,763,4684.67,0.31999999999970896,4689.958749741869,-0.5230262886170749,4699.83,4679.96,2.0999999999994543,5.553999999999815,5.553999999999815,2.0999999999994543,5.553999999999815,False,0,0,0,0,0,1,7.0,1,50,CHOPPY,40,False,False,,,4688.65,4682.15,4688.65,4682.15,0,0,0,NEUTRAL,0,0,0,0,NONE,2026-04-27,1,ASIA,4730.11,4667.22,0,0,4679.96,4699.83,1,1,0,0,1,0,1.0,1.0,20,,,32,,,NO_TRADE,NO_TRADE,0.0,0.0,0.0,9.997199999999667,LONG,4684.99,4674.9928,4704.984399999999,0.0,False,False,NONE,no_trade,CHOPPY
